record_id,record_type,decision,assembly_score,band,slot_families,slot_assignments,declared_routes,title,source_identity,external_paper_title,external_paper_year,external_paper_venue,external_paper_doi
PEEP-2026-013,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;enumeration_action;fold_action;residual_action;bridge_action,06;16;26;36;01;11;21;31;03;13;23;33;02;12;22;32;07;17;27;37,FLCR-01;FLCR-11;FLCR-21;FLCR-31;FLCR-03,D4 J30 Idempotent Bridge Tests As Finite-Basis Semiring Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\044-claude-real-math-d4-j30-idempotent-bridge-tests.md; LOCAL-GAP-0120,"The finite basis problem for additively idempotent semirings of order four, II",2025,Algebra Universalis,10.1007/s00012-025-00908-5
PEEP-2026-014,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;bridge_action;enumeration_action;fold_action;terminal_action,06;16;26;36;07;17;27;37;01;11;21;31;03;13;23;33;08;18;28;38,FLCR-07;FLCR-17;FLCR-27;FLCR-37;FLCR-06,D12 Action Verifier As Semicentral-Idempotent Action Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\045-claude-real-math-d12-action-verifier.md; LOCAL-GAP-0055,Idempotent Triangular Matrices over Additively Idempotent Semirings: Decompositions into Products of Semicentral Idempotents,2025,Axioms,10.3390/axioms14020137
PEEP-2026-015,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,fold_action;ledger_action;enumeration_action;residual_action;terminal_action,03;13;23;33;06;16;26;36;01;11;21;31;02;12;22;32;08;18;28;38,FLCR-07;FLCR-17;FLCR-27;FLCR-37;FLCR-06,D12 Moonshine Chain As Umbral Trace-Function Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\046-claude-real-math-d12-moonshine-chain.md; LOCAL-GAP-0059,"Cone Vertex Algebras, Mock Theta Functions, and Umbral Moonshine Modules",2025,Communications in Mathematical Physics,10.1007/s00220-025-05376-5
PEEP-2026-016,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;enumeration_action;window_action;fold_action,46;56;66;76;47;57;67;77;41;51;61;71;49;59;69;79;43;53;63;73,FLCR-04;FLCR-14;FLCR-24;FLCR-34;FLCR-07,CQE Quasi-Crystal Database As Fused Materials-Data Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\047-boundary-cqe-quasi-crystal-database.md; LOCAL-GAP-0051,MaterialsGalaxy: A platform fusing experimental and theoretical data in condensed matter physics,2025,Chinese Physics B,10.1088/1674-1056/ae172a
PEEP-2026-017,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,carrier_action;bridge_action;enumeration_action;ledger_action;fold_action;residual_action,47;57;67;77;41;51;61;71;46;56;66;76;43;53;63;73;42;52;62;72;05;15;25;35;45;55;65;75,FLCR-04;FLCR-14;FLCR-24;FLCR-34;FLCR-07;FLCR-41..80,CQE Proof Of Transport As Quasicrystal Electronic-Transport Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\049-boundary-cqe-proof-of-transport.md; LOCAL-GAP-0061,The electronic structure of 1/1 ZnMgHf and its consequences for the electronic transport of the quasicrystal,2025,Scientific Reports,10.1038/s41598-025-13835-1
PEEP-2026-018,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,bridge_action;enumeration_action;ledger_action;fold_action;residual_action,07;17;27;37;01;11;21;31;06;16;26;36;03;13;23;33;02;12;22;32,FLCR-01;FLCR-11;FLCR-21;FLCR-31;FLCR-03,LCR Rule 30 Synthesis As CA Self-Composition Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\070-lcr-pdf-cqe-rule-30-synthesis.md; LOCAL-GAP-0089,Fast Simulation of Cellular Automata by Self-Composition,2025,Complex Systems,10.25088/complexsystems.34.3.259
PEEP-2026-019,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;closure_lift;enumeration_action;fold_action,46;56;66;76;47;57;67;77;40;50;60;70;41;51;61;71;43;53;63;73,FLCR-40;FLCR-50;FLCR-60;FLCR-70;FLCR-46,Rule30 Mophonics Field Theory Summary As CA Dynamics Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\074-lcr-rule30-mophonics-field-theory-summary.md; LOCAL-GAP-0090,Fast Simulation of Cellular Automata by Self-Composition,2025,Complex Systems,10.25088/complexsystems.34.3.259
PEEP-2026-020,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;bridge_action;closure_lift;enumeration_action;fold_action,06;16;26;36;07;17;27;37;00;10;20;30;01;11;21;31;03;13;23;33,FLCR-01;FLCR-11;FLCR-21;FLCR-31;FLCR-03,Rule30 Prize Submission As CA Benchmark Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\076-lcr-rule30-prize-submission.md; LOCAL-GAP-0086,Fast Simulation of Cellular Automata by Self-Composition,2025,Complex Systems,10.25088/complexsystems.34.3.259
PEEP-2026-021,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;enumeration_action;window_action;closure_lift,46;56;66;76;47;57;67;77;41;51;61;71;49;59;69;79;40;50;60;70,FLCR-01;FLCR-11;FLCR-21;FLCR-31;FLCR-03,Rule30 Agent Outline As CA Simulation Protocol Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\078-lcr-rule30-rule30-agent-outline.md; LOCAL-GAP-0084,Fast Simulation of Cellular Automata by Self-Composition,2025,Complex Systems,10.25088/complexsystems.34.3.259
PEEP-2026-022,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;closure_lift;enumeration_action;fold_action,46;56;66;76;47;57;67;77;40;50;60;70;41;51;61;71;43;53;63;73,FLCR-01;FLCR-11;FLCR-21;FLCR-31;FLCR-03,Rule30 Agent Final Paper As CA Evidence Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\080-lcr-rule30-rule30-agent-final-paper.md; LOCAL-GAP-0094,Fast Simulation of Cellular Automata by Self-Composition,2025,Complex Systems,10.25088/complexsystems.34.3.259
PEEP-2026-023,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;enumeration_action;fold_action;residual_action,46;56;66;76;47;57;67;77;41;51;61;71;43;53;63;73;42;52;62;72,FLCR-07;FLCR-17;FLCR-27;FLCR-37;FLCR-06,Lattice Forge Prior Overclaim Paper As Semifield Overclaim Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\081-lattice-forge-prior-initial-overclaim-paper-for-record.md; LOCAL-GAP-0098,Equational theories of idempotent semifields,2025,Bulletin of the London Mathematical Society,10.1112/blms.13228
PEEP-2026-024,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;enumeration_action;fold_action;residual_action;bridge_action,06;16;26;36;01;11;21;31;03;13;23;33;02;12;22;32;07;17;27;37,FLCR-07;FLCR-17;FLCR-27;FLCR-37;FLCR-06,Lambda Rule30 Equivalence Report As Finite-Basis Equivalence Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\083-lattice-forge-prior-lambda-rule30-equivalence-unified-report.md; LOCAL-GAP-0085,"The finite basis problem for additively idempotent semirings of order four, II",2025,Algebra Universalis,10.1007/s00012-025-00908-5
PEEP-2026-025,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;enumeration_action;bridge_action;closure_lift;fold_action,46;56;66;76;41;51;61;71;47;57;67;77;40;50;60;70;43;53;63;73,FLCR-06;FLCR-16;FLCR-26;FLCR-36;FLCR-09,CQE CAM Crystal Database As MC3D Structure Provenance Comparator,D:\CQE_CMPLX\unpack-and-bind\cqe_cam_crystal.db; CAMDB-0015; EXTERNAL_PAIR_QUEUE,MC3D: the Materials Cloud computational database of experimentally known stoichiometric inorganics,2026,Digital Discovery,10.1039/D5DD00415B
PEEP-2026-026,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;enumeration_action;fold_action;residual_action;window_action,06;16;26;36;01;11;21;31;03;13;23;33;02;12;22;32;09;19;29;39,FLCR-08;FLCR-18;FLCR-28;FLCR-38;FLCR-01,Crystal Chains Archive As Verified MOF Database Comparator,D:\CQE_CMPLX\unpack-and-bind\cqekernel_crystal_chains_v1.zip; ARCHIVE-0112; EXTERNAL_PAIR_QUEUE,MOSAEC-DB: a comprehensive database of experimental metal–organic frameworks with verified chemical accuracy suitable for molecular simulations,2025,Chemical Science,10.1039/D4SC07438F
PEEP-2026-027,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,carrier_action;ledger_action;bridge_action;fold_action;enumeration_action;residual_action,46;56;66;76;47;57;67;77;43;53;63;73;41;51;61;71;42;52;62;72;04;14,FLCR-05;FLCR-15;FLCR-35;FLCR-04;FLCR-14,E8 Linear Models As Exceptional-Algebra Boundary Repair Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\039-umbrella-math-chart-j3o-isomorphism.md; D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\048-boundary-cqe-lie-conjugation.md; LOCAL-GAP-0080; SLOT-04/14,Linear models of the exceptional Lie algebra e8,2025,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie A. Matematicas",10.1007/s13398-025-01768-3
PEEP-2026-028,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,carrier_action;bridge_action;enumeration_action;ledger_action;fold_action;residual_action,47;57;67;77;41;51;61;71;46;56;66;76;43;53;63;73;42;52;62;72;34;44;54;64;74,FLCR-35;FLCR-45;FLCR-55;FLCR-65;FLCR-75,Exciton Transport Topology As Lift-Boundary Calibration Comparator,D:\CQE_CMPLX\kernel\staging\papers\suite83_cmplx_kernel_production\CQE_CMPLX-workspace\CMPLX-R30-main\PROOF\src\lattice_forge\binary_boundary_adapter.py; D:\CQE_CMPLX\kernel\staging\papers\suite19_umbrella_math\048-boundary-cqe-lie-conjugation.md; SLOT-34/44/54/64/74,Topologically enhanced exciton transport,2025,Nature Communications,10.1038/s41467-025-66276-9
PEEP-2026-029,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;enumeration_action;window_action;bridge_action;fold_action,06;16;26;36;01;11;21;31;09;19;29;39;07;17;27;37;03;13;23;33,FLCR-03;FLCR-13;FLCR-23;FLCR-33,FLCR-03 Correction Surface As CA Self-Composition Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-03\formal.md; DEP-FLCR-18-17; EXTERNAL_PAIR_QUEUE,Fast Simulation of Cellular Automata by Self-Composition,2025,Complex Systems,10.25088/complexsystems.34.3.259
PEEP-2026-030,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;closure_lift;enumeration_action;fold_action,46;56;66;76;47;57;67;77;40;50;60;70;41;51;61;71;43;53;63;73,FLCR-07;FLCR-17;FLCR-27;FLCR-37,FLCR-07 Obligation Ledger As Provenance-Graph Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-07\formal.md; DEP-FLCR-18-17; EXTERNAL_PAIR_QUEUE,Provenance-driven nanopublications: representing source lineage and trust networks for multi-source assertions,2025,International Journal on Digital Libraries,10.1007/s00799-025-00431-x
PEEP-2026-031,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;enumeration_action;bridge_action;closure_lift;fold_action,46;56;66;76;41;51;61;71;47;57;67;77;40;50;60;70;43;53;63;73,FLCR-09;FLCR-19;FLCR-29,FLCR-09 Terminal Addresses As Verified-Proof Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-09\formal.md; DEP-FLCR-18-17; EXTERNAL_PAIR_QUEUE,"Fast, Verified Computation for HOL ITPs",2025,Journal of Automated Reasoning,10.1007/s10817-025-09719-8
PEEP-2026-032,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;fold_action;window_action;closure_lift,46;56;66;76;47;57;67;77;43;53;63;73;49;59;69;79;40;50;60;70,FLCR-10;FLCR-20;FLCR-30,FLCR-10 Temporal Windows As Quantum-Reference-Frame Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-10\formal.md; DEP-FLCR-18-17; EXTERNAL_PAIR_QUEUE,Measurement events relative to temporal quantum reference frames,2025,Quantum,10.22331/q-2025-01-30-1616
PEEP-2026-033,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;fold_action;closure_lift;enumeration_action,46;56;66;76;47;57;67;77;43;53;63;73;40;50;60;70;41;51;61;71,FLCR-31;FLCR-41;FLCR-51;FLCR-61;FLCR-71,FLCR-31 Gauge Translation As Exceptional-E8 Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-31\formal.md; DEP-FLCR-18-17; EXTERNAL_PAIR_QUEUE,Linear models of the exceptional Lie algebra e8,2025,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie A. Matematicas",10.1007/s13398-025-01768-3
PEEP-2026-035,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;enumeration_action;fold_action;residual_action,46;56;66;76;47;57;67;77;41;51;61;71;43;53;63;73;42;52;62;72,FLCR-19;FLCR-11;FLCR-28,FLCR-19 Layer-2 Ledger As Machine-Readable Publication Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-19\formal.md; DEP-FLCR-18-17; SEED_CANDIDATE_QUEUE/CAND-Q-01,Rethinking the production and publication of machine-readable expressions of research findings,2025,Scientific Data,10.1038/s41597-025-04905-0
PEEP-2026-036,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,bridge_action;enumeration_action;ledger_action;window_action;terminal_action,47;57;67;77;41;51;61;71;46;56;66;76;49;59;69;79;48;58;68;78,FLCR-20;FLCR-21;FLCR-22;FLCR-28,FLCR-20 Forge Descriptor As Crystal Hypergraph Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-20\formal.md; DEP-FLCR-18-17; SEED_CANDIDATE_QUEUE/CAND-Q-10,Crystal hypergraph convolutional networks,2025,npj Computational Materials,10.1038/s41524-025-01826-9
PEEP-2026-037,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,bridge_action;ledger_action;enumeration_action;fold_action;terminal_action,47;57;67;77;46;56;66;76;41;51;61;71;43;53;63;73;48;58;68;78,FLCR-29;FLCR-30;FLCR-40,FLCR-29 Corpus Ribbon As Machine-Readable Retrospective Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-29\formal.md; DEP-FLCR-18-17; SEED_CANDIDATE_QUEUE/CAND-Q-01,Rethinking the production and publication of machine-readable expressions of research findings,2025,Scientific Data,10.1038/s41597-025-04905-0
PEEP-2026-038,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;window_action;closure_lift;enumeration_action,46;56;66;76;47;57;67;77;49;59;69;79;40;50;60;70;41;51;61;71,FLCR-30;FLCR-06;FLCR-13,FLCR-30 Meta-Framer As CA Self-Composition Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-30\formal.md; DEP-FLCR-18-17; SEED_CANDIDATE_QUEUE/CAND-Q-04,Fast Simulation of Cellular Automata by Self-Composition,2025,Complex Systems,10.25088/ComplexSystems.34.3.259
PEEP-2026-039,pairwise_external_evidence_package,ASSEMBLE,100,41-80_physics_redefinition,ledger_action;bridge_action;closure_lift;enumeration_action;fold_action,46;56;66;76;47;57;67;77;40;50;60;70;41;51;61;71;43;53;63;73,FLCR-39;FLCR-07;FLCR-11;FLCR-40,FLCR-39 Evidence Comparator As Provenance-Graph Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-39\formal.md; DEP-FLCR-18-17; SEED_CANDIDATE_QUEUE/CAND-Q-02,Provenance-driven nanopublications: representing source lineage and trust networks for multi-source assertions,2025,International Journal on Digital Libraries,10.1007/s00799-025-00431-x
PEEP-2026-034,pairwise_external_evidence_package,ASSEMBLE,100,1-40_method_definition,ledger_action;bridge_action;enumeration_action;closure_lift;fold_action,06;16;26;36;07;17;27;37;01;11;21;31;00;10;20;30;03;13;23;33,FLCR-25;FLCR-33;FLCR-37,FLCR-25 Carrier Horizon As CKM Unitarity Comparator,D:\CQE_CMPLX\papers\active-rework\publication_series\Formalizing_LCR_Unifying_Standard_Models\FLCR-25\formal.md; DEP-FLCR-18-17; SEED_CANDIDATE_QUEUE/CAND-Q-08,Cabibbo-Kobayashi-Maskawa unitarity deficit reduction via finite nuclear size,2025,Physical Review Research,10.1103/z8g6-9j25
LOCAL-GAP-0001,local_unintegrated_artifact,REROUTE_OR_REPAIR,65,1-40_method_definition,enumeration_action;fold_action;terminal_action;ledger_action;window_action,01;11;21;31;03;13;23;33;08;18;28;38;06;16;26;36;09;19;29;39;12;22;32;42;17;27;37;47;41;51;49;59,FLCR-02;FLCR-08;FLCR-10;FLCR-20;FLCR-28;FLCR-29;FLCR-30;FLCR-38;FLCR-40;FLCR-13;FLCR-21;FLCR-22;FLCR-23;FLCR-36;FLCR-24;FLCR-25;FLCR-39;FLCR-01;FLCR-06;FLCR-09;FLCR-12;FLCR-17,CL_proof-source-lattice-forge-inventory.md,D:\CQE_CMPLX\kernel\staging\papers\suite81_claude_codex_memory\Claude work\CL-Paper-Evidence-DB\CL_proof-source-lattice-forge-inventory.md; receipt_bridge=D:\CQE_CMPLX\kernel\staging\papers\suite18_cl_paper_db\CL_proof-source-lattice-forge-inventory.md,,,,
LOCAL-GAP-0002,local_unintegrated_artifact,REROUTE_OR_REPAIR,65,1-40_method_definition,enumeration_action;fold_action;terminal_action;ledger_action;window_action,01;11;21;31;03;13;23;33;08;18;28;38;06;16;26;36;09;19;29;39;04;14;24;34;05;15;25;35;17;27;37;47;41;51;49;59,FLCR-02;FLCR-08;FLCR-10;FLCR-20;FLCR-28;FLCR-29;FLCR-30;FLCR-38;FLCR-40;FLCR-13;FLCR-21;FLCR-22;FLCR-23;FLCR-36;FLCR-24;FLCR-25;FLCR-39;FLCR-03;FLCR-04;FLCR-05;FLCR-17,CL_proof-source-jordan-j3-octonion.md,D:\CQE_CMPLX\kernel\staging\papers\suite81_claude_codex_memory\Claude work\CL-Paper-Evidence-DB\CL_proof-source-jordan-j3-octonion.md; receipt_bridge=D:\CQE_CMPLX\kernel\staging\papers\suite18_cl_paper_db\CL_proof-source-jordan-j3-octonion.md,,,,
LOCAL-GAP-0003,local_unintegrated_artifact,REROUTE_OR_REPAIR,63,1-40_method_definition,enumeration_action;fold_action;ledger_action;window_action;terminal_action,01;11;21;31;03;13;23;33;06;16;26;36;09;19;29;39;08;18;28;38;07;17;27;37;41;12;22;32;42;43;47;20;30;40;50;51;52;53;48;58;49;59;46;56;66;68;69;60;70,FLCR-07;FLCR-11;FLCR-12;FLCR-28;FLCR-39;FLCR-40;FLCR-13;FLCR-20;FLCR-21;FLCR-22;FLCR-23;FLCR-36;FLCR-38;FLCR-01;FLCR-06;FLCR-08;FLCR-09;FLCR-17;FLCR-29,verify_rule30_winding_number_proof.json,D:\CQE_CMPLX\CQECMPLX-Formal-Suite\lib\src\lattice_forge\receipts\verify_rule30_winding_number_proof.json,,,,
